player_tag,final_elo,last_observed_trophies,matches_played
88CCV0QRV,1027.6,8532,900
28LLCLVR2,1193.8,8556,899
8JV2UQRPC,1331.8,8824,898
Y8YQ80VU,1222.4,8624,897
82028GCLC,1098.1,8533,894
LQJQ9RY,1147.8,8500,894
YPY8LY0P,1067.9,8500,892
29U228VP8,1082.8,8500,892
2YL0C8Y8Q,1143.3,8245,892
Y8GR90Q2,1159.0,8562,890
2RJR8R82G,1232.6,8619,890
9CU89UJQU,1263.0,9000,890
29RL2QY9P,1162.1,8879,889
P0Y9CLP9C,1000.2,9000,887
YR90YPUGC,1099.6,8500,887
2PU8LRRJL,1057.1,8500,886
PV88GV9L,1301.3,9000,885
LYRCCC,1044.8,8500,884
RUJUGL2R8,981.1,8502,882
CC8L8PL9V,1025.0,8500,882
G0P2CL09,1110.5,8500,880
PC9GQJP8U,1187.4,8517,877
PQR002CYY,1096.3,8504,876
P98C9PCP,1248.3,8643,875
9JGUVYYLP,1100.2,9000,875
YYG9YR2LQ,1009.5,8500,874
JR9URQGJU,1114.6,8532,872
PL00LLU0,1290.9,8743,872
2RQ99LPVY,1153.1,8704,872
L2RC2YUU,1302.3,9000,871
2L2PUPQGQ,1236.9,8759,870
9LG2GYJG8,1293.7,8834,869
80GLCG2VU,1122.3,8600,867
28GR8LY22,1195.8,8509,867
9QRQCPRC,1369.8,9000,863
G022PV0GP,1184.1,8562,863
YYYJCGQP,1229.8,8702,863
J0UJYRPQR,1261.5,8902,863
2GLL29P22,1214.2,8530,860
GYVRLYVL,1315.8,8751,860
29QRCGULC,1308.3,8710,859
8CPVUCVUR,1253.8,8671,859
CCRRRPV88,1320.2,8826,858
YVLC92GU,1230.4,9000,858
QCG8LU8C,1104.4,8591,857
890YR9P9,1066.9,8948,854
2L9GGR,1055.7,8500,853
CL8CLG8V,1117.2,8621,852
98CQL0CJ,1028.5,8584,852
20GJQUVP,1149.4,8426,849
P8RCL0298,1190.6,9000,849
2JP8YQGP,1132.7,9000,848
9J28VURY,1417.7,9000,848
8Y2LYG9UV,1125.7,8801,848
GVVQV89VJ,1144.1,8500,848
2Q029PL0P,1208.5,8648,846
2PV0GG2VL,1193.9,9000,846
2GV0G2PCV,1214.8,8534,845
RYRU9Y,1228.1,8680,843
8RVC8228R,1265.7,8727,841
2JC0VLRLU,1176.5,8562,841
889VQ082R,1303.0,8748,840
2GVCRUP0C,1069.6,8530,837
2PL2UGRG0,1253.3,9000,836
YG9LPY90V,1352.6,9000,835
U88CPRGC,1275.4,8763,835
P89P2JYUP,914.0,9000,834
82YULRRL,1175.0,8554,834
QLQP2Y2V,1220.9,9000,833
YQR00JL8,1245.8,8669,833
9Q0UQ0CYR,1143.6,8621,832
8JJYQGJLU,1102.7,8655,831
9LQU2QLY0,929.6,8676,830
2JRCJ88VL,1069.5,8636,829
9CRRPV28P,1284.6,8716,829
2CYRQ0YYY,973.4,8503,828
P8YRQPGJ,1200.4,8383,825
98UJQULV0,1315.4,9000,824
2UQ9CCLCP,1262.5,8500,821
9GJGGQJR2,1206.4,8528,821
9RVLRQ0J2,1249.0,9000,821
8YUR809PV,1441.8,9000,821
QC9YVQ8U,1242.2,9000,820
8L8LUVCVR,1294.9,8731,819
P9YJ8Q2CV,985.2,8513,819
8C8YGL9RR,1075.3,8588,818
9LRU82VCQ,1195.3,9000,818
202P8PP9C,1026.5,8500,817
VJG28LJ,1208.3,8700,814
8RCU80YQU,1165.5,9000,814
2UCV8CLQV,1111.4,8591,814
82YYQYGVU,1209.6,8592,813
28P80G0CY,1122.8,9000,813
980CPCVG8,1234.1,8635,811
8J0Q9GV9G,1203.9,8248,810
UR9VV8C8,1131.6,8614,810
22Y8JJUJG,1149.3,8569,809
JP2YLC2LC,1069.8,8530,809
22RCGC0L9,1131.2,8500,809
9PGUCUUL,1285.0,9000,808
Q20Y8PRC,1111.6,8676,806
988PQ9JVJ,1095.7,8537,806
QGY8U2VJ,1010.8,8618,805
8PQ08PQ2J,1208.6,9000,805
8CL80GVJ,1184.9,8565,804
LV0GRRQ8V,1207.9,8592,803
9PUR0UYJ,1217.4,9000,803
9UUVVGVC,1139.9,9000,802
QGYGQ0GYL,1402.4,9000,802
RLR0YYUUR,823.6,9000,802
PQRQ802LG,1117.2,9000,801
L828V8V2,1201.8,9000,801
2QG90G2R9,1172.7,8724,801
YQLVQ0UP,1269.1,8709,799
QGR0Q2PCV,1225.5,9000,798
8YQ0VY2UR,1203.1,8531,798
LVPYYR2C0,1235.1,8648,797
P28CJ8CG,1215.1,8538,796
22U8LRGV,1131.4,8724,796
8JP28YQ9J,1072.0,8553,795
80Y8GVJJG,1439.0,9000,795
CGLY0CJ8,1176.7,9000,794
282RR2QLP,1128.7,8589,794
90VUGL2P,1152.6,8513,794
VRQ8P0Y2,1258.8,8616,792
9PLYQJGGR,1186.3,9000,792
2Y8U9RV09,1180.0,8330,792
JGGJ2GVJC,1197.6,9000,791
LGV8YQY0P,1336.1,8731,791
2VR0J0PV,1116.9,8614,791
C0VQQVV8,1119.3,8530,790
C909UYPC,1294.6,9000,790
8R82PLR0,1167.1,9000,789
298R9Y988,1302.7,9000,788
90UPLVCR,1202.1,8561,788
P0YVLGU8G,1398.5,9000,786
PQV8URR,1154.4,8520,786
2C0RUL8PY,1082.5,8834,786
80L0G02R,1189.1,8721,786
8JQVGRY9J,1351.1,8500,785
QRPC2LRV0,1099.6,8502,785
2RCYR9J2,1115.1,8551,784
2LVL2L0Y0,1044.5,8615,784
L2R8JRPGG,1179.0,8557,784
2RRUG88LP,1155.6,8677,783
P082P2PC0,1089.2,8530,783
9QJLLPY0,1155.5,8781,783
2J8UP0UJL,1049.1,8500,782
RVLV29C8C,1111.7,8648,782
YU9UV9Y82,951.9,8530,781
J8PCC8VQU,1165.9,8531,780
899RY0C90,1384.0,9000,780
98JVPC8J,1050.5,8530,779
2GY0Q2QL,1234.7,8580,778
8L2PVR8J,1160.1,8557,778
228R80V9U,1122.7,8533,777
PL20YPPUG,1171.8,8532,777
VV8Y8L99,1137.7,8533,777
98GQLJCL,1219.2,8640,777
GU0QQUQ2,1081.5,8503,775
CRRJR2U2P,1271.5,8738,775
9LC8L9VU,1250.4,8527,774
2PGYY2UQL,1025.4,8527,774
C9RQ0GL9,1169.0,8511,773
P8PGQJULL,1161.1,8532,772
Y2VPQQYJ,1231.6,9000,772
29G2P9C8,1192.3,9000,771
V00889LJJ,1205.7,8592,771
8Y822G99,1239.5,8664,771
YQ0UYUYL,1179.4,8520,770
820QYQLC,1278.0,9000,770
U2982GP9,1180.4,8706,770
RGQGY98U,1083.3,8616,770
YQ0YCJQ2Q,1093.5,8505,769
RUJ9PRCVQ,1129.6,8142,769
2GQGPR0C0,1212.2,9000,768
99Y9PYJY,1109.2,8530,767
JCC0C8VV8,1261.9,8855,766
LL8JR9YP9,1164.2,8737,765
2RCPP9R2U,987.8,8503,765
8P2Q0QLQ,1224.0,8628,764
PQ2VGLG,1097.4,8500,764
2CJ9V99J,1265.2,9000,762
LVL09UP9J,1183.6,8116,761
QGVL209Y,1158.2,8500,761
Q0PQ8892C,1182.5,8620,761
UJYLQGUG,1143.1,8505,761
8YUGPY8P,1237.8,8675,759
PC2CL20J9,1155.2,8623,758
LRY8JYV,1163.3,9000,758
Q8RR98RJ0,1306.5,9000,757
RY0U28LY,1249.9,8791,756
8GQ2JRYCP,1137.9,9000,756
8JPV99VV,1331.2,9000,756
C22URRLV,1157.8,8167,755
28P2U8JYV,1138.9,8642,754
9U9LYY2R,1057.4,9000,752
P288P9VV,1167.3,8566,751
8PYJURJ2,1184.8,8562,751
PJY8290L,1232.4,8589,751
RCCYYJ28U,1283.9,8537,750
2QR2G09VR,1106.0,8501,750
2PJGLLR02,1199.5,8533,749
2Y2CQPV2,1183.5,8500,749
99QP0ULR,1089.6,8501,748
P0YRCRJ2P,1154.5,8794,747
2G2L2G8YC,1197.1,9000,746
9QLR8QCVJ,1239.2,8877,746
99Q80292Q,1162.5,9000,745
8GY8C0PYC,1298.3,9000,744
UJ8Y000YR,1263.4,8645,744
8PPUQYUYQ,1307.7,8938,743
Y9Y80GUUC,1206.6,8620,743
L0U8P8CY9,1239.7,9000,743
80Y9LJQLU,1111.8,8500,742
8YVRY0QVU,1256.7,8806,742
GC9U9RQPC,1241.4,8594,742
2L2R2LYR,1130.1,8500,741
8YCP2UC9R,1234.4,9000,741
UCQQRVGL,1161.4,8507,740
8U2R808C,1090.5,8531,740
JL2VGJG0,1153.2,8500,739
QPQ2QPQ,1127.0,8500,739
82VYGL2L2,1247.9,8701,739
2J0PRYRCC,1341.0,9000,738
9RGPQ2LYQ,1219.9,8320,737
9V0Y0LJ,1206.6,8644,736
P9VYVCLUQ,1172.5,9000,736
9PUCUP9J8,1184.4,8642,736
PQJ9YV28Y,1150.3,8827,736
LRV8R2YRC,1189.9,8588,736
YVRQV8QUV,997.4,8532,735
Y2R9JV22,1157.4,8524,735
2RGGYJJ2,1269.3,9000,735
CGVPJ8YQG,1118.7,8605,734
Q80PRRJ2,1158.0,8647,734
2RCQLG0CP,1234.7,8644,734
GQJRGVQ0L,1141.6,8704,734
2U2VV0,1247.7,8751,734
YJQGJPGU9,1146.6,8530,734
GVC2PLC8,1226.9,9000,733
P09GYJCGP,1237.5,8565,732
YUUC0RGU,1694.6,9000,729
89RY29CPP,1192.7,9000,729
2GL2U88J,1317.8,8966,728
8LQ880RUY,1318.9,8801,727
9922UL0G8,1204.7,9000,726
80UP9JGG,1336.6,8827,726
P8LLP2YJY,1192.8,9000,725
PYYVLCVUY,1127.2,8226,725
29YCLL2PR,1163.9,8588,725
2P9Y0C9J,1032.8,9000,724
J2PCG28V,1163.5,9000,724
2L2Y9GJY,1221.1,9000,723
JJL8YPGJ,1245.3,8775,723
RCLV22L0,1285.7,9000,723
P2Y282,1266.6,8752,723
L2VQQURPG,1225.2,8599,723
8PYJVPU8C,1092.1,8823,722
UJY8CUUUC,1201.5,8690,722
PPC8Y0U99,1082.2,9000,721
229Y89V9J,1123.0,8618,721
8PL9RRPY,1071.8,8500,721
2Q02RVLR,1167.7,8731,721
R029UY0Y,1175.6,8619,721
20PCULGLJ,1283.3,9000,720
80JRRRQY,1198.5,9000,720
8G2QQY0C9,1184.5,8500,719
2R8Q2Q9CU,1127.1,8500,719
90JGRQR9J,1163.4,8533,719
RYVCV8LQ,1096.7,8112,719
9PRC8YPJ2,1244.0,8607,719
P82CVUGY,1368.2,9000,718
Y2G9R9YC,1460.2,9000,718
Y9Q8U8UV2,1296.2,8824,717
P29CGGLG0,1418.1,8909,717
RJP99P2U8,1225.4,8500,717
208CCQRQ9,1262.1,9000,716
92P8LVQP,1127.5,8541,716
828CYC099,1286.6,8727,716
2999U2CPG,1051.0,8676,716
V8CR02CQV,1154.3,9000,716
8Y20JQCPC,1127.5,8217,716
8PRPCCJY,1357.1,8805,716
2GJULLYCL,1173.2,9000,715
9U92VYJRG,1366.2,8668,715
GY9P028Q,1238.0,9000,714
2GP8U0CY9,1280.4,8769,714
QP9RLJQ9,1250.2,8608,714
2GRUR9VUV,1159.4,8868,714
8QR2ULPL,1223.3,8703,713
YYVQL8UU,1270.8,8541,713
88GGVR0V9,1480.7,9000,713
8UQY2RRGG,1256.6,8899,713
P9C98QUP,1242.7,8710,712
U2P80GP,1199.1,8567,712
9LPJ29G2Q,1350.6,8849,711
9C22900YP,1014.8,8500,711
8P9RC09QU,1346.9,9000,711
L8G9PR88P,1188.0,8596,711
P0GQ9LGLL,1049.1,8541,710
P8QPUGVQ9,1197.4,8654,710
8R928CQRQ,1156.0,8675,710
92LU9RQCJ,1356.6,9000,710
VLCCPQC0,1004.1,9000,709
2VPY8PG00,1181.5,8627,708
2LP0V2PJJ,1151.0,8657,707
99Q0UYPQY,1128.8,9000,707
22U2UC8CU,1241.3,9000,707
8YLRQLYU,1066.2,8557,707
9QCGJ8CQL,1170.6,8667,706
8GLU2YJ9,1216.9,9000,706
2GJ2Y8LL8,1080.5,8623,706
CVY022,1217.4,8672,706
99CG2U8RV,1201.8,8500,706
GCYJLY9Y,1128.3,9000,705
YRCLVR0Y,1278.4,9000,705
2C9LVVGG,1201.4,8530,705
P8LJJ0P9J,1050.2,8500,705
2RU2JL09,1312.8,8904,705
2YQU2CVL2,1337.9,8647,705
QRGVCPPUC,1224.7,8624,704
9G0UPYUJ9,1095.6,8504,704
GYQJPU8R,1169.1,8590,704
YJ8QQLPL,1158.4,8680,704
P2GQJU08,1099.6,8561,703
GLQY0JPV2,1211.2,9000,703
P20900R0R,1156.6,8500,702
2VGP0P0P,1400.3,8938,702
YQ08C2VR8,1054.5,8530,702
PJP8RG2YP,1207.5,8717,702
GY9VGC000,1196.0,8594,702
G2P2R2C8Y,904.0,8385,701
8LJ92Y0YJ,1197.0,8825,701
8P2J22JUP,1113.4,8507,701
9VPUYYC0,1182.8,8723,701
22PLYUYCR,1146.2,8611,701
L8L2VLY0,1250.6,8842,701
GCL0UQ92,1123.6,8564,700
V8JRVJV2,1246.0,8831,700
88VG9PGV,1288.2,8613,700
2UP0C0U9Q,1198.5,8636,699
92RVCP989,1056.6,8743,699
8YU9CJJ8,1282.3,8557,699
8LCY9JUG2,1087.3,8500,698
8GU0UC92C,1143.4,8503,698
8J8CVUC9,1114.3,8564,698
8R2YQJQ28,1166.6,8618,697
8P2UJVQ09,1131.8,8765,697
Q0LG8YC8,1171.5,9000,697
20VJVQU0G,1106.2,9000,697
RPRQ89C88,1136.1,8684,696
808GRPLCJ,1308.3,9000,696
G0QJVJQ2,1155.1,8530,696
2PRURGLQ,1140.2,8500,695
9J098JV9,1091.8,8500,695
8CGRC8VV8,1184.0,8532,694
QV08GC99U,1242.0,9000,694
Q8J9RL8CQ,1090.6,8566,694
LP00GP9QJ,1146.7,8611,694
2Q89JYJCQ,1126.9,8504,694
90RYUURG,1129.7,8560,693
28CRJQPVL,1079.1,8730,693
9V92PU2QJ,1306.5,9000,693
99V09L9JQ,985.3,8503,692
U0YGJLY22,1264.4,8611,692
P98P8VJQR,1267.1,8640,692
2CJPP02CY,1232.6,9000,692
9Y008229,1193.6,9000,692
LLL92P2Q0,1144.5,8500,692
RQLJJQR0,1285.0,8576,692
2PC0Y2LVP,1176.9,9000,692
90JP0VJC,1351.7,9000,691
90YVL2YL,1222.8,9000,691
9YJUJC2QQ,1396.4,9000,691
29CYJVVJ,1170.0,9000,690
L8YRURY0P,1233.4,8623,690
8VG08LVY,1150.5,8503,690
9UQC0JP2,1171.1,9000,689
2YVPLRR8Q,1120.5,8565,689
2YJQYG8LU,1310.9,8545,689
CV92R0U9Y,1199.1,8595,689
90P90Y28,1149.2,9000,688
LJL0LP0J,1227.2,9000,688
2VYRRJUJG,1271.5,8586,688
PRGLU8PV,1193.4,8620,688
C9CLLGGLG,1187.2,8646,688
2LJVJG220,1230.8,8615,687
U0L9V2JR,1107.1,8500,687
2R28CPR9G,1095.3,8500,687
P2VGVVU2,1455.0,9000,686
9QYV2J88C,1160.0,8530,686
9CGGY8202,1168.9,8568,686
8YPYGCGCP,1307.3,9000,686
PG9GVQ9J,1273.9,8706,685
2CV0JUG00,1106.4,8528,685
89Y9PGV9,1073.3,9000,685
9URCLVUC,1246.8,9000,685
9VJ8G0PUJ,1229.4,8621,684
90R22GU0Q,1217.4,8620,684
PG9CCUUL,1152.2,8672,684
JL2RGRJ0,1282.6,8898,684
9P2UJGJY,1256.0,9000,684
8PYY2QYR,1045.8,8861,684
JPPVYU2,1164.5,8500,684
Q9LJ0R08,1159.5,8500,684
8JC0JRLCG,1129.2,8541,682
2LYJJR8QR,1144.4,8714,682
99LR8UGQ,1300.0,8764,682
PJ8QPC92Y,1263.7,8675,681
9P9PC9JJ,1125.9,8727,680
9U0098Q8J,1125.4,9000,680
8G9QVC9Q,1272.4,9000,680
2LYQCPLCY,1369.4,9000,680
GPGLVLJ8G,1238.7,8560,680
2R8CGRC8Y,1105.9,8584,679
9RRP9JVCL,1294.8,9000,679
8PC2LJQC,1203.3,8533,678
PVQPCGLPV,1228.1,8531,678
8LJGC988,1116.1,8519,678
QRYVVGJU,1237.3,8677,678
CR82UL8J8,1239.1,8741,678
99GRQ2QP,1089.3,8500,676
YQGL02C8,1112.5,8503,676
8P9PPPL2P,1187.2,8736,676
2LGCVJRJR,1155.9,8500,676
PGG9209L,1189.0,9000,676
8QVJRQR2,1190.9,8599,675
2UUVVV9YV,1127.8,8582,675
29UGR90R,1125.5,9000,674
RQJV0VR,1096.2,8503,674
8RR0V2R08,1229.4,8500,674
2V9QJQ9UY,1192.5,8625,674
29GGJG0PQ,1216.2,8574,673
2QCRR8JPU,954.7,8500,673
2V8U98R0Q,1241.3,8733,673
8Q9CJLYG,1239.6,9000,673
LC0YVRLPU,1221.9,8586,673
QVUJ9YCVR,1160.6,8391,673
29RGV8V20,1203.7,8561,672
Q22VCR9QC,1103.7,8535,672
QRLVG9PP,1030.3,8500,672
9RYYPGY,1439.0,9000,672
92GCUR22,1236.7,8616,671
9890U29J8,1242.5,8658,671
PJPVC2RGV,1182.1,8554,671
82PJU2GYJ,1241.2,9000,671
P9CQLCRG,1083.7,8535,671
RUCUQVPQ,1340.6,9000,671
29Q8PUJJP,1266.5,8589,671
UGCQQPJPU,1249.3,8524,670
Y80CQYRR,1167.8,8152,669
80RY09RQ,1195.8,8710,669
2YPPYJULV,1336.3,9000,669
2UR2Y29UQ,1173.9,8667,669
8L888RVQ0,1198.5,8712,668
2PR88RYVJ,1269.6,8733,668
9882P90L,1204.3,9000,668
8JY2LJRJU,1150.4,8679,668
Y2J9CRRR,1099.3,8000,667
28QUJCGPP,1349.5,8760,667
LL0L2P9,1370.4,8810,667
UVYPCU9L9,1160.6,8536,667
9GQRRGRY0,1302.4,9000,667
QV90LG0UL,1014.8,8614,667
2CRLUR22L,1166.6,9000,666
2UV0RCVLR,1273.3,8630,666
20829GGUC,1209.2,9000,666
JRYCU8UP,1190.9,9000,666
J8YRR02U8,1162.9,8732,666
R82QRYL20,1216.7,9000,666
2Q88RY0,1343.2,9000,665
J0CYJCRR,1288.8,8755,664
8CQCG0V0,1193.1,8736,664
2JPJG0CGJ,1160.3,9000,663
Q92QCVRYV,1197.0,8605,663
8QYLYJURP,1052.3,8620,663
90PC8JY2,1073.3,8500,663
90298JJP2,1167.3,8702,663
2GC82R098,1291.5,9000,663
GV9U2GU0,1064.6,8681,662
28GQV0P9Y,1164.4,8535,662
2PVLLJ0,1240.9,9000,662
GRQUPV2L,1067.0,8533,661
CGL9PYG2,1105.7,8500,661
2YY2GCLGR,1315.0,8525,661
P8LR2R89,1253.2,8759,661
2YP00V2QU,1147.1,8530,661
JV2CU0JL,1272.0,8652,661
J9PLQ0V0Q,1240.6,8588,661
8L8PYV2Q,1070.8,8535,660
QQL9P2PQQ,1172.0,8619,660
9J0JPUL2,1205.7,8784,659
P092Q990,1227.9,9000,659
9P900298,1398.7,9000,659
CJYJJYJ8Y,1263.2,8620,659
9V0VC828,1149.9,8563,659
GY9J92L,1105.9,9000,659
20VUPG2GU,1197.5,8534,658
P8PV8200,1196.8,8566,658
C2U2VCRP2,1190.9,8546,658
820UR88,1310.0,9000,658
8V0PC0C0J,1134.2,8500,658
QGRRJY82,1241.3,8806,658
RRLPUYQC,1305.4,8791,657
20PGGUVG,1137.0,9000,657
PVQY02UJ2,1324.6,9000,657
89U82VQ0R,1189.4,8856,657
2LUPU08Y2,1202.9,8619,657
URCYURQ2,1172.0,8149,657
RG82J9PL,1217.0,9000,657
QCQG2VC,1288.4,8683,656
9JLU98YV,1187.6,9000,656
2Y808YU8V,1127.8,8533,656
UULR2LGY2,1172.1,8858,656
88J09YJ92,1175.2,8589,656
JC9LPGQG,1301.1,8706,656
Q0UC09YJL,1129.5,9000,655
Y9UJ2P9C2,1153.8,8534,655
8Q2RVYR9Y,1144.8,8532,655
2VJLGQ2V,1216.9,8586,654
8LRGPYQCR,1119.5,9000,654
PLVPVQPG,1320.2,9000,654
2GYRRC800,1258.4,8206,654
8P020GGPG,1538.4,9000,654
LL90P2GPV,1320.3,8711,654
U0JJ89PJC,1244.5,9000,654
UVC28UCR,1212.6,9000,653
GRG908VU9,1250.3,8500,653
P0J8UYRCU,1109.7,8649,653
PRJGCPJ8,1128.7,8623,653
GCPQJG0C,1074.2,8500,653
YYRYJCVG0,1264.9,8624,653
2UJ0L9CUR,1217.0,8554,653
GU980JCR,1109.8,8778,652
P9UJJ8R0,1621.0,9000,652
29LJRGQQ,1199.3,9000,652
Y0GC0CUQL,1293.5,8904,652
PY90PCGJ8,1166.1,8538,652
2GVVVRJC9,1275.2,9000,652
2C0220UQY,1056.8,8710,652
9QG9QVU0G,1171.4,8500,652
9YGJ8JUY2,1132.3,8675,651
PGVJJGVP,1007.4,8530,651
8V8PV2U9,1192.8,9000,651
GCRCU0P9,1087.2,8563,651
QYUGULGLV,1153.6,8763,651
RLPVUCCJ,1232.1,9000,651
LQC9L0Y,974.7,8500,650
9CQ22J89L,1342.6,8846,650
8P8CU2988,1082.3,8500,650
8QG9GU9P,1320.6,9000,650
PVGCJ8UVR,1312.0,8773,650
YVPUYPQ0,1171.2,8530,649
8V0LGJCY8,1214.4,8514,649
90PYLL9UR,1130.8,9000,649
2Q9RRU8YG,1224.7,8743,648
9G8JP92V2,1341.7,8819,648
8UYY200QL,1119.4,8561,648
Y22JPQJCC,1194.5,8578,648
9UR29VQ0R,1208.6,8644,648
