battle_time,game_mode,team_tag,team_name,team_cards,team_crowns,team_trophies,team_avg_level,opponent_tag,opponent_name,opponent_cards,opponent_crowns,opponent_trophies,opponent_avg_level,result,collected_at,team_evolved_cards,team_hero_cards,opponent_evolved_cards,opponent_hero_cards,team_tower_troop,opponent_tower_troop,team_elixir_leaked,opponent_elixir_leaked,team_ambiguous_cards,opponent_ambiguous_cards
20260724T165438.000Z,trail,9Y8UYLY,,Inferno Dragon;Barbarian Barrel;Skeleton Barrel;Executioner;Rocket;Dark Prince;Royal Hogs;Ram Rider,1,,,UGLJRJVPR,mitsu,Rune Giant;Bandit;Firecracker;Knight;Electro Wizard;Skeleton Barrel;Skeleton Army;Arrows,2,,,Loss,2026-07-29T19:20:42.190115+00:00,,,,,,,,,,
20260729T172714.000Z,PvP,LY8PJCV9U,,Mega Knight;Musketeer;Witch;Fireball;Valkyrie;Minion;Goblin Barrel;Barbarian,1,,,222PV99298,MacDonald,Baby Dragon;Golem;Prince;Mega Minion;Elixir Collector;Tornado;Dark Prince;Zap,2,,,Loss,2026-07-29T19:22:17.608342+00:00,,,,,,,,,,
20260729T192025.000Z,PvP,VRUU9UU08,,Firecracker;Minion;Mini P.E.K.K.A;Elixir Golem;Inferno Dragon;Dark Prince;Lightning;Arrows,1,,,V8C9U9J2R,vasilok,Skeleton Army;Balloon;Valkyrie;Mega Minion;Wizard;Ram Rider;Mother Witch;Mini P.E.K.K.A,3,,,Loss,2026-07-29T19:23:56.604535+00:00,,,,,,,,,,
20260725T215756.000Z,riverRacePvP,29YP22CUY,,Archer;Dark Prince;Boss Bandit;P.E.K.K.A;Bat;Goblin Barrel;Royal Ghost;Goblin Curse,0,,,V2GPCQ0YC,Antonio,Musketeer;Battle Ram;Golden Knight;Tombstone;The Log;Goblin Gang;Skeleton;Bat,1,,,Loss,2026-07-29T19:25:38.493042+00:00,,,,,,,,,,
20260727T083359.000Z,riverRacePvP,229PPGU8R,,Valkyrie;Wizard;Royal Recruits;Ice Wizard;Skeleton Army;Dart Goblin;Electro Giant;Zap,3,,,PGVJP8G,ahmad,Dart Goblin;Earthquake;Little Prince;Witch;Giant Skeleton;Mini P.E.K.K.A;Balloon;Zap,0,,,Win,2026-07-29T19:27:14.661440+00:00,,,,,,,,,,
20260726T083127.000Z,PvP,QLCYJQJVG,,Royal Giant;Barbarian Barrel;Royal Ghost;Skeleton;Fisherman;Fireball;Hunter;Electro Spirit,1,,,PV2829VQV,GOD.,Witch;Mini P.E.K.K.A;Hunter;Prince;Ice Spirit;Fireball;Zap;Bomber,0,,,Win,2026-07-29T19:28:53.321609+00:00,,,,,,,,,,
20260709T034922.000Z,PvP,RV0JU89,,Lumberjack;Balloon;Skeleton Army;Lava Hound;Arrows;Minion;Lightning;The Log,3,,,VC92VPVLY,LUIS⁰¹,Ronin;Mini P.E.K.K.A;Mega Knight;Archer;Knight;Goblin Barrel;Barbarian Barrel;Princess,1,,,Win,2026-07-29T19:28:59.959066+00:00,,,,,,,,,,
20260729T025331.000Z,PvP,PY9L9CUYU,,Royal Giant;Mini P.E.K.K.A;Princess;Sparky;Tesla;Executioner;Arrows;Skeleton,1,,,209C8YYRYV,rsmonhv,Witch;Mini P.E.K.K.A;Archer;Skeleton Army;Fireball;Royal Ghost;Hog Rider;Baby Dragon,2,,,Loss,2026-07-29T19:30:35.264193+00:00,,,,,,,,,,
20260729T011710.000Z,trail,V02RLCVVU,,Skeleton;Ice Golem;Musketeer;Fireball;Hog Rider;Ice Spirit;Cannon;The Log,1,,,VYV08G0QL,kuiiyri.tt,Goblin Barrel;Rascals;Hunter;Dark Prince;Fireball;Skeleton Barrel;Zap;Battle Healer,0,,,Win,2026-07-29T19:30:40.071926+00:00,,,,,,,,,,
20260727T175548.000Z,PvP,V8VQPP9YG,,Lumberjack;Ronin;Firecracker;Tesla;Phoenix;Lightning;Tornado;Electro Giant,1,,,VRL29PLRG,andrea,Skeleton Army;Skeleton King;Skeleton Barrel;Mother Witch;Suspicious Bush;Guard;Vines;Dart Goblin,0,,,Win,2026-07-29T19:32:16.243005+00:00,,,,,,,,,,
20260726T151750.000Z,PvP,VLQ90QJ02,,Mega Knight;Knight;Valkyrie;Royal Hogs;Skeleton Army;Archer;The Log;Baby Dragon,1,,,RGGGPY90J,Little_Chris,Royal Hogs;Wizard;Valkyrie;Ronin;Witch;Skeleton Army;Fireball;Berserker,0,,,Win,2026-07-29T19:33:53.506069+00:00,,,,,,,,,,
20260729T190848.000Z,PvP,VRUP2G2QU,,Dart Goblin;Three Musketeers;Bat;Elixir Collector;Elixir Golem;Rage;Tornado;Vines,1,,,988PUYJU,tippy,Barbarian;Musketeer;Furnace;Zap;Golem;Princess;Fireball;Skeleton Army,3,,,Loss,2026-07-29T19:35:31.445135+00:00,,,,,,,,,,
20260729T193643.000Z,PvP,20PPYY8QCL,,Valkyrie;Electro Wizard;Mega Knight;Fisherman;Mother Witch;Cannon Cart;Lightning;Executioner,2,,,PRGQ88G2,eduardo.j,Royal Giant;Ronin;Wizard;Elite Barbarian;Mini P.E.K.K.A;Freeze;Firecracker;Elixir Golem,3,,,Loss,2026-07-29T19:37:16.033825+00:00,,,,,,,,,,
20260724T020343.000Z,riverRacePvP,VVJUJJ8,,Valkyrie;Battle Ram;Hunter;Miner;Giant;Mirror;Fireball;Goblin Gang,1,,,2Y0LPG0G9,xDCarlosprOxD,Firecracker;Goblin Barrel;Cannon;Royal Hogs;Executioner;Ram Rider;Bowler;Spear Goblin,2,,,Loss,2026-07-29T19:38:51.236351+00:00,,,,,,,,,,
20260728T203144.000Z,pathOfLegend,RVGRLPULJ,,Witch;Tombstone;Mega Knight;Arrows;Fireball;Golem;Archer;Knight,1,,,2LPRQJRUL,<c3>GYTU,Tesla;Little Prince;Valkyrie;Fireball;Electro Wizard;Skeleton;Hog Rider;The Log,0,,,Win,2026-07-29T19:38:54.996805+00:00,,,,,,,,,,
20260723T062214.000Z,PvP,YLCGPRVCQ,,Witch;Wizard;Balloon;P.E.K.K.A;Mega Knight;Lumberjack;Fireball;Inferno Tower,0,,,CCQLLJR9G,MR BLU,Archer;Tombstone;Royal Ghost;Princess;Wall Breakers;Barbarian Barrel;Ronin;Goblin Barrel,1,,,Loss,2026-07-29T19:39:03.908637+00:00,,,,,,,,,,
20260726T212737.000Z,PvP,2URJ8VUY,,Skeleton Barrel;Knight;Goblin Barrel;Inferno Tower;Dart Goblin;Princess;The Log;Skeleton Army,1,,,V2VCL0VLY,youngchef,Witch;Wizard;Mini P.E.K.K.A;Elite Barbarian;Skeleton Army;Ram Rider;The Log;Zap,0,,,Win,2026-07-29T19:39:08.007640+00:00,,,,,,,,,,
20260725T185531.000Z,PvP,YVV2URG8L,,Firecracker;Skeleton Army;Valkyrie;Zap;Tornado;Goblin Barrel;Giant Skeleton;Ram Rider,1,,,RULGR8ULQ,jdkf,Skeleton Army;Knight;Goblin Barrel;Skeleton Barrel;Rocket;The Log;Inferno Tower;Princess,0,,,Win,2026-07-29T19:39:54.805222+00:00,,,,,,,,,,
20260726T182123.000Z,PvP,LYU0G2989,,Valkyrie;Mega Knight;Firecracker;Bat;The Log;Hunter;Fire Spirit;Executioner,1,,,20GV0RCJVJ,SmolCrow,Electro Wizard;Hunter;Archer Queen;X-Bow;Vines;Goblin Curse;Goblin Machine;Tombstone,0,,,Win,2026-07-29T19:39:58.796137+00:00,,,,,,,,,,
20260722T083421.000Z,PvP,JCVP2QUJL,,Wall Breakers;Knight;Magic Archer;The Log;Spear Goblin;Bomb Tower;Tornado;Miner,2,,,82PRVJUGP,Combatiente,Valkyrie;Rocket;Bowler;Lumberjack;Fireball;Royal Ghost;Baby Dragon;Skeleton Dragons,1,,,Win,2026-07-29T19:41:36.287958+00:00,,,,,,,,,,
20260714T120830.000Z,trail,V2GGQ0P0G,,Skeleton Army;Musketeer;Dart Goblin;Arrows;Tombstone;Hog Rider;Valkyrie;Fireball,1,,,UG8JL8C,sorrowful phynx,Giant Snowball;Ronin;Royal Hogs;Electro Spirit;Inferno Tower;Rage;Guard;Spirit Empress,0,,,Win,2026-07-29T19:43:17.625694+00:00,,,,,,,,,,
20260611T192924.000Z,PvP,UU9G0V2J,,Firecracker;Wizard;P.E.K.K.A;Inferno Tower;Zap;Hog Rider;Fireball;Arrows,1,,,R9PJUCVYL,Jorarove5050,Firecracker;Knight;Skeleton Army;Mini P.E.K.K.A;The Log;Freeze;Minion Horde;Magic Archer,0,,,Win,2026-07-29T19:44:53.920726+00:00,,,,,,,,,,
20260728T012741.000Z,PvP,2VLGQ9ULL,,Baby Dragon;Barbarian Barrel;Bowler;Skeleton;Ice Spirit;Goblin Hut;Graveyard;Poison,1,,,20GUULGVJ8,Smol_ClutcH♥,Witch;Valkyrie;Three Musketeers;Rage;Arrows;Goblin Hut;Elixir Golem;Mega Knight,0,,,Win,2026-07-29T19:44:59.837374+00:00,,,,,,,,,,
20260724T143743.000Z,riverRacePvP,8JGU8PPRV,,Baby Dragon;Mega Minion;Lumberjack;Hunter;Prince;Goblin Gang;Giant;Flying Machine,0,,,2R2R0P0JY,ivanor GM,Skeleton Army;Giant Skeleton;Goblin Barrel;Inferno Tower;Princess;Ice Spirit;Dart Goblin;The Log,1,,,Loss,2026-07-29T19:46:35.029701+00:00,,,,,,,,,,
20260727T033526.000Z,PvP,Q829VJJJ8,,Valkyrie;Knight;Ice Golem;Dart Goblin;Cannon;Dark Prince;Magic Archer;The Log,2,,,VJJ0G928C,PrimalBayonetta,Wizard;Minion Horde;Mega Knight;Elite Barbarian;Mirror;Night Witch;Vines;Mother Witch,1,,,Win,2026-07-29T19:48:10.824583+00:00,,,,,,,,,,
20260729T165316.000Z,PvP,CYJ2CPP,,Lumberjack;Bat;Furnace;Cannon Cart;Fireball;Electro Wizard;The Log;Heal Spirit,3,,,VJJU9PV0U,annie,Mega Knight;Golem;Prince;Inferno Dragon;Hunter;Arrows;Ram Rider;Executioner,0,,,Win,2026-07-29T19:48:16.060976+00:00,,,,,,,,,,
20260728T202048.000Z,PvP,2209Y2QJR,,Skeleton;Mini P.E.K.K.A;Firecracker;The Log;Goblin Barrel;Zap;P.E.K.K.A;Dart Goblin,1,,,J8CV22UC,Dyladri,Executioner;Knight;Goblin Barrel;Ice Spirit;Princess;Hog Rider;Inferno Tower;The Log,0,,,Win,2026-07-29T19:49:24.984632+00:00,,,,,,,,,,
20260728T084834.000Z,PvP,2JLRRYGGC,,Barbarian;Baby Dragon;Valkyrie;Zap;Ram Rider;Minion Horde;Goblin Barrel;Miner,0,,,2RYVRGGV,hueva,Zap;Wizard;Bowler;The Log;Ice Golem;Skeleton Army;Inferno Tower;X-Bow,1,,,Loss,2026-07-29T19:49:29.480749+00:00,,,,,,,,,,
20260725T110929.000Z,clanMate,CLQCQCRRJ,,Firecracker;Dart Goblin;Skeleton Army;P.E.K.K.A;Inferno Tower;Goblin Barrel;The Log;Fireball,0,,,208PLV22CL,fabio,Archer;Knight;Tesla;The Log;Fireball;X-Bow;Skeleton;Ice Spirit,1,,,Loss,2026-07-29T19:49:33.684801+00:00,,,,,,,,,,
20260726T153212.000Z,PvP,YGPJJG2Y,,Giant;Executioner;Bowler;Mirror;Tornado;Zap;Electro Wizard;Sparky,0,,,VRL0VYQY9,Thunder_Merlin,Skeleton Army;Skeleton King;Electro Dragon;Lightning;Goblin Curse;Elixir Golem;Night Witch;Arrows,3,,,Loss,2026-07-29T19:49:37.684597+00:00,,,,,,,,,,
20260728T140217.000Z,riverRacePvP,C2J0QRUG,,Skeleton;Mega Minion;Giant Snowball;Dark Prince;Inferno Tower;Earthquake;Electro Giant;Sparky,0,,,LQRUQ82PV,23,Zap;Mini P.E.K.K.A;Skeleton Army;Mirror;Hog Rider;Bomber;Minion Horde;Prince,3,,,Loss,2026-07-29T19:49:42.360608+00:00,,,,,,,,,,
20260729T184206.000Z,PvP,VRGC22G2J,,Valkyrie;Giant Skeleton;Mighty Miner;Skeleton Army;Witch;Sparky;Skeleton Barrel;Bomber,3,,,VC0L0J08P,StormAsuna,Executioner;Golden Knight;Mega Knight;Inferno Dragon;Minion Horde;Elixir Golem;Elite Barbarian;Electro Giant,0,,,Win,2026-07-29T19:49:47.105926+00:00,,,,,,,,,,
20260729T182147.000Z,PvP,VC8YJU2UG,,Royal Recruits;Mini P.E.K.K.A;Monk;Elixir Collector;Rage;Heal Spirit;Arrows;Three Musketeers,1,,,2G0LJCG2U,IGUANO,Firecracker;Balloon;Mini P.E.K.K.A;Zap;Rage;Ram Rider;Minion;The Log,3,,,Loss,2026-07-29T19:49:53.044580+00:00,,,,,,,,,,
20260721T162427.000Z,PvP,CQCQLY9LR,,Valkyrie;Skeleton Army;Goblin Barrel;Bomber;Baby Dragon;Inferno Tower;Elixir Golem;Princess,1,,,VC2ULQYC2,Lainez,Valkyrie;Witch;Wizard;Elixir Golem;Lightning;Mini P.E.K.K.A;Poison;Furnace,0,,,Win,2026-07-29T19:49:57.650261+00:00,,,,,,,,,,
20260729T115250.000Z,PvP,J29RLPL28,,Mega Knight;Firecracker;Valkyrie;Prince;Arrows;Hog Rider;Minion;Dart Goblin,3,,,VJJVYJUR9,LoneKraken✡,Wizard;Witch;Mega Knight;Baby Dragon;Ram Rider;Vines;Berserker;Inferno Dragon,0,,,Win,2026-07-29T19:50:34.170689+00:00,,,,,,,,,,
20260718T105524.000Z,PvP,20L88CUVCU,,Wizard;Golden Knight;Witch;Valkyrie;Fireball;Ram Rider;Minion;Zap,2,,,PQJ99RY0V,Vognik,Royal Hogs;Wizard;Hog Rider;Skeleton Army;Firecracker;Minion Horde;Royal Recruits;Goblin Barrel,1,,,Win,2026-07-29T19:50:40.162503+00:00,,,,,,,,,,
20260719T200158.000Z,PvP,C909QRCJ8,,Mega Knight;Magic Archer;Tesla;Witch;Rocket;Ice Wizard;Valkyrie;Royal Ghost,0,,,VJJJ2RVL2,HoLYPHARAOH,Witch;Mini P.E.K.K.A;Giant Snowball;Giant;Graveyard;Minion;Bowler;Vines,1,,,Loss,2026-07-29T19:50:45.850516+00:00,,,,,,,,,,
20260729T194336.000Z,PvP,P0P8QYV8,,Inferno Tower;Tombstone;Lumberjack;Battle Ram;Firecracker;Balloon;Wizard;Witch,0,,,CCCP8Q08Y,Marko,Firecracker;Mini P.E.K.K.A;Cannon;Skeleton;Dart Goblin;Arrows;Goblin Barrel;Hog Rider,3,,,Loss,2026-07-29T19:50:51.105697+00:00,,,,,,,,,,
20260729T162854.000Z,PvP,PPQYGGJ2C,,Valkyrie;Musketeer;Mini P.E.K.K.A;Ice Wizard;The Log;Zap;Hog Rider;Minion,0,,,P29YY928R,Adler flinn,Royal Hogs;Ice Spirit;Giant Snowball;Tesla;Skeleton;Valkyrie;Ice Wizard;Poison,1,,,Loss,2026-07-29T19:50:55.281825+00:00,,,,,,,,,,
20260720T101443.000Z,trail,CC8JRP9RR,,Skeleton;Tombstone;Witch;Ronin;Skeleton Army;The Log;Rage;Mother Witch,0,,,20RRJ2VPP9,Playboyes,Furnace;Rocket;Ice Golem;Earthquake;Ice Spirit;The Log;Skeleton;Cannon,3,,,Loss,2026-07-29T19:50:59.538082+00:00,,,,,,,,,,
20260726T134841.000Z,PvP,JVUCCJV9L,,Witch;Knight;Boss Bandit;Cannon;Electro Wizard;Fireball;The Log;Mini P.E.K.K.A,0,,,R0GCQP8J2,A P V,Firecracker;Mega Minion;Goblin Cage;Skeleton;Golem;Baby Dragon;Tornado;Lightning,1,,,Loss,2026-07-29T19:51:04.215818+00:00,,,,,,,,,,
20260726T092910.000Z,PvP,V0QG0VLQV,,Witch;Valkyrie;Mega Knight;Skeleton Army;Goblin Barrel;Bat;Inferno Tower;Arrows,3,,,22GG00VCV,정환,Inferno Dragon;Knight;Mini P.E.K.K.A;Hog Rider;The Log;Fire Spirit;Minion;Princess,0,,,Win,2026-07-29T19:51:40.760844+00:00,,,,,,,,,,
20260729T182130.000Z,PvP,2RL8PQVL,,Skeleton;Musketeer;Tesla;Ronin;Hog Rider;Ice Spirit;Fireball;The Log,1,,,VRU0J2P80,DefiantBrownie,Witch;P.E.K.K.A;Valkyrie;Inferno Dragon;Elixir Golem;Barbarian;Sparky;Wizard,3,,,Loss,2026-07-29T19:51:46.460069+00:00,,,,,,,,,,
20260728T072838.000Z,riverRacePvP,LC2GLY0Q0,,Mega Knight;Mini P.E.K.K.A;Witch;The Log;Freeze;Valkyrie;Electro Wizard;Tesla,3,,,209V02LCCR,colonelryguy,Baby Dragon;Inferno Tower;Prince;Goblin Barrel;Dark Prince;Hog Rider;Goblin Gang;Zap,0,,,Win,2026-07-29T19:51:51.434362+00:00,,,,,,,,,,
20260728T120918.000Z,trail,PJCCLG0RQ,,Firecracker;Mini P.E.K.K.A;Wizard;Fireball;Hog Rider;Inferno Tower;Bandit;Ronin,0,,,JYJGGJRJ0,LUKAKU,Baby Dragon;Mighty Miner;Royal Hogs;Cannon;The Log;Electro Spirit;Skeleton;Lightning,1,,,Loss,2026-07-29T19:51:56.334386+00:00,,,,,,,,,,
20260728T101423.000Z,trail,VGJ8080GQ,,Skeleton Barrel;Knight;Dart Goblin;Wall Breakers;The Log;Rascals;Goblin Gang;Princess,1,,,U0QP0Y922,Ramy,Cannon;Ice Golem;Furnace;Skeleton;Ice Spirit;Fireball;The Log;Hog Rider,0,,,Win,2026-07-29T19:52:01.297610+00:00,,,,,,,,,,
20260729T180026.000Z,PvP,8V89U0P0,,Battle Ram;Mega Knight;Minion Horde;Battle Healer;Rage;Three Musketeers;Giant Skeleton;Elite Barbarian,3,,,VLGRP9QGL,Richit,Skeleton Army;Mini P.E.K.K.A;Witch;Bat;Mega Knight;Hog Rider;Elixir Golem;Arrows,0,,,Win,2026-07-29T19:52:11.279451+00:00,,,,,,,,,,
20260727T090048.000Z,trail,20PVG8CLYC,,Ronin;Bandit;Firecracker;Rascals;Tesla;Skeleton Barrel;Knight;Arrows,2,,,G2QLQLL98,Clasher,Electro Spirit;The Log;Arrows;Firecracker;Fireball;Baby Dragon;Ronin;Flying Machine,1,,,Win,2026-07-29T19:52:50.471124+00:00,,,,,,,,,,
20260718T091739.000Z,riverRacePvP,VCYG9PRGJ,,Firecracker;Bowler;Ice Spirit;Ram Rider;Skeleton Army;Goblin Gang;Prince;Royal Ghost,2,,,PVPVPUU9Y,TONY,Skeleton Army;Bowler;Boss Bandit;Dart Goblin;Spear Goblin;Mother Witch;Giant Snowball;Barbarian Barrel,0,,,Win,2026-07-29T19:52:57.568280+00:00,,,,,,,,,,
20260729T193154.000Z,PvP,200900U0VQ,,Archer;Princess;Goblins;Tombstone;Flying Machine;Skeleton Dragons;Skeleton Army;Royal Hogs,2,,,20GUU8CC9P,SinisterSlayer,Witch;Skeleton Army;Wizard;Inferno Dragon;Prince;Mirror;Royal Hogs;Mega Knight,3,,,Loss,2026-07-29T19:53:07.031972+00:00,,,,,,,,,,
20260729T135046.000Z,PvP,C2YLR808J,,Witch;Mini P.E.K.K.A;Mega Knight;Knight;Ice Spirit;Zap;Skeleton;P.E.K.K.A,1,,,VRUUJ9P90,SilverStriker,Hunter;Guard;Mega Knight;Dark Prince;Lightning;Arrows;Bat;Battle Ram,0,,,Win,2026-07-29T19:53:12.782146+00:00,,,,,,,,,,
20260726T165216.000Z,PvP,JRU9L9G,,Royal Ghost;Firecracker;Mega Knight;Tornado;Wall Breakers;Elixir Golem;Skeleton Dragons;Ronin,1,,,20GY2V2VJY,kınimıni,Mega Knight;Golden Knight;Witch;Dart Goblin;Goblin Cage;Elite Barbarian;Barbarian Barrel;Goblin Curse,0,,,Win,2026-07-29T19:53:19.606249+00:00,,,,,,,,,,
20260727T191432.000Z,PvP,90GGU8GVL,,Baby Dragon;Skeleton King;Mini P.E.K.K.A;Princess;Skeleton Army;Bowler;Fireball;Tesla,2,,,2R09VURUU,Striker A.V.M.H,Mega Knight;Elixir Golem;Rocket;Arrows;Mirror;Royal Recruits;P.E.K.K.A;Witch,0,,,Win,2026-07-29T19:53:25.609555+00:00,,,,,,,,,,
20260729T181828.000Z,trail,P8UQJ2VCL,,Arrows;Valkyrie;Poison;Royal Recruits;Goblin Cage;Goblin Gang;Archer;Musketeer,0,,,U9C8CLG00,Janssue .,Dart Goblin;Cannon;Fireball;Royal Hogs;Minion;Zap;Berserker;Wall Breakers,3,,,Loss,2026-07-29T19:53:32.211475+00:00,,,,,,,,,,
20260728T205435.000Z,clanMate,VG8LJGV0G,,Suspicious Bush;Inferno Dragon;Little Prince;Furnace;Golem;Baby Dragon;P.E.K.K.A;Freeze,2,,,UR0J8PJ82,aliـــsixo,Royal Hogs;Archer Queen;Cannon;Ice Spirit;Skeleton;Royal Delivery;Earthquake;The Log,0,,,Win,2026-07-29T19:54:11.485869+00:00,,,,,,,,,,
20260728T065220.000Z,trail,UQY0YRJV,,Witch;Giant Snowball;Giant;Guard;Bowler;Minion;Arrows;Graveyard,1,,,VR8CRCP02,menesbabpro,Royal Recruits;Barbarian Barrel;Royal Hogs;Goblin Cage;Fireball;Electro Spirit;Flying Machine;Zappies,3,,,Loss,2026-07-29T19:54:20.602613+00:00,,,,,,,,,,
20260727T050145.000Z,PvP,CV29PQQ0L,,Valkyrie;Mini P.E.K.K.A;Mega Knight;Witch;Arrows;Suspicious Bush;Princess;Skeleton Army,1,,,VC2UCLUCV,DukeTruffle,Hunter;Valkyrie;Rascals;Firecracker;Earthquake;Mirror;Goblin Giant;Royal Hogs,0,,,Win,2026-07-29T19:54:30.026019+00:00,,,,,,,,,,
20260724T000800.000Z,PvP,CRCU0JV8G,,Lumberjack;Balloon;Witch;Mini P.E.K.K.A;Musketeer;Freeze;Skeleton Army;Zap,0,,,U90PLU8J0,NAZARİO,Skeleton;Wizard;Goblins;Dart Goblin;Vines;Goblin Barrel;Guard;Ram Rider,3,,,Loss,2026-07-29T19:54:37.742349+00:00,,,,,,,,,,
20260727T192901.000Z,PvP,298RRPCYL,,Valkyrie;Mini P.E.K.K.A;Witch;Battle Ram;Lumberjack;Arrows;Electro Wizard;Bat,2,,,VRU00CRV8,EnchantedBurger,Electro Dragon;Mini P.E.K.K.A;Giant Skeleton;Tornado;Mirror;Battle Healer;Clone;Elixir Golem,1,,,Win,2026-07-29T19:54:44.933409+00:00,,,,,,,,,,
20260727T221608.000Z,PvP,V00YVCLQQ,,Dart Goblin;Knight;Goblin Barrel;Princess;Goblin Gang;Inferno Tower;The Log;Rocket,1,,,92VR28V09,Mãrløn,P.E.K.K.A;Electro Wizard;Skeleton Army;Tornado;Mega Knight;Executioner;Zap;Bat,0,,,Win,2026-07-29T19:54:50.764249+00:00,,,,,,,,,,
20260729T191513.000Z,trail,V9P2YY0VR,,Royal Ghost;Dart Goblin;Skeleton;Ice Spirit;Valkyrie;Elixir Collector;Electro Spirit;Fire Spirit,2,,,V8PUCU0PJ,Fefloyx,Hunter;Golden Knight;Royal Hogs;Electro Spirit;Lightning;Minion;Rascals;The Log,0,,,Win,2026-07-29T19:54:56.953214+00:00,,,,,,,,,,
