card_a,card_b,co_occurrence,win_rate_together
Electro Wizard,Firecracker,72696,0.5041
Electro Wizard,Mini P.E.K.K.A,72440,0.5178
Bandit,Electro Wizard,72258,0.5037
Inferno Dragon,Lumberjack,72149,0.5414
Arrows,Hog Rider,71861,0.5088
Freeze,Knight,71686,0.5204
Arrows,Minion,71197,0.5137
Electro Giant,Tornado,69667,0.5071
Barbarian,Fireball,69045,0.5345
Dark Prince,Rage,69044,0.5387
Hog Rider,Zap,68809,0.5109
Freeze,Lumberjack,68793,0.5432
Barbarian,Rage,68610,0.5424
Electro Dragon,Lumberjack,67717,0.5444
Baby Dragon,Inferno Dragon,67427,0.5188
Barbarian Barrel,Electro Dragon,66879,0.5421
Arrows,Bat,66424,0.5053
Magic Archer,Tornado,66081,0.4542
Dark Prince,Mini P.E.K.K.A,65878,0.5372
Bandit,Firecracker,65783,0.5169
Dark Prince,Goblin Giant,65658,0.5412
Magic Archer,The Log,65601,0.4555
Firecracker,Tornado,65294,0.5003
Tornado,Wall Breakers,65241,0.447
Baby Dragon,Bowler,64923,0.5215
Electro Dragon,Elixir Golem,64591,0.5145
Electro Wizard,Fireball,63744,0.5085
Elixir Collector,Rage,63640,0.5286
Bowler,Graveyard,63336,0.5155
Balloon,Bowler,62057,0.5459
Fisherman,Mother Witch,61947,0.5389
Executioner,Goblins,61890,0.5164
Barbarian Barrel,Fisherman,61564,0.5472
Executioner,Hog Rider,61374,0.4978
Golem,Night Witch,61286,0.5144
Baby Dragon,Freeze,61172,0.521
Electro Spirit,Fireball,61069,0.543
Bowler,Lumberjack,60790,0.544
Fireball,Skeleton King,60606,0.5482
Arrows,Skeleton King,60177,0.5352
Barbarian Barrel,Phoenix,59849,0.5321
Electro Wizard,Mega Knight,59610,0.5034
Executioner,The Log,59486,0.4876
Electro Wizard,Rage,59358,0.5301
Mini P.E.K.K.A,The Log,59022,0.5098
Executioner,Ice Spirit,58640,0.4976
Bomb Tower,Magic Archer,58557,0.4489
Magic Archer,Miner,58416,0.4479
Bandit,P.E.K.K.A,58283,0.496
Barbarian Barrel,Lightning,58063,0.5122
Magic Archer,Wall Breakers,57985,0.4486
Arrows,Electro Dragon,57969,0.5214
Fireball,Firecracker,57792,0.5099
Battle Healer,Electro Dragon,57386,0.5238
Phoenix,Tornado,57328,0.5175
Firecracker,Lightning,57291,0.5056
Electro Wizard,Royal Ghost,57245,0.5032
Barbarian,Night Witch,56801,0.543
Bat,Zap,56678,0.5132
Battle Healer,Elixir Golem,56635,0.5239
Night Witch,Skeleton King,56617,0.5331
Mother Witch,Zappies,56438,0.5384
Fireball,Goblins,56295,0.5392
Minion,Zap,55754,0.5227
Lightning,Mini P.E.K.K.A,55354,0.5065
Electro Spirit,Goblins,55075,0.5329
Fireball,Royal Ghost,54954,0.5324
Battle Ram,Electro Wizard,54902,0.5028
Fireball,Phoenix,54857,0.5323
Barbarian Barrel,Royal Giant,54834,0.5459
Mini P.E.K.K.A,Valkyrie,54547,0.5036
Barbarian Barrel,Mother Witch,54374,0.5394
Bandit,Magic Archer,54309,0.5198
Arrows,Bandit,54265,0.5267
Electro Spirit,Fisherman,53981,0.5445
Electro Spirit,Royal Giant,53877,0.5431
Battle Ram,P.E.K.K.A,53586,0.4993
Rage,Skeleton King,53554,0.5339
Electro Dragon,Inferno Dragon,53403,0.5388
Bowler,Knight,53295,0.5111
Skeleton King,Tombstone,53091,0.5374
Fireball,Tombstone,52029,0.5359
Electro Wizard,Hog Rider,51945,0.5044
Tornado,Valkyrie,51637,0.4708
Electro Giant,Lightning,51586,0.5079
Mighty Miner,Skeleton,51493,0.5375
Skeleton,Valkyrie,51489,0.471
Arrows,Mother Witch,51348,0.524
Magic Archer,Royal Ghost,51034,0.5142
Battle Ram,Magic Archer,51031,0.5218
Arrows,Elixir Collector,50807,0.524
Electro Dragon,Rage,50359,0.5197
Miner,Skeleton,49882,0.4688
Bandit,Mega Knight,49395,0.52
Barbarian,Elixir Golem,49386,0.5399
Battle Ram,Zap,49327,0.4974
Arrows,Dark Prince,49213,0.5174
Bowler,Ice Wizard,49115,0.5104
Fisherman,Zappies,48992,0.5417
Arrows,Prince,48780,0.5101
Royal Giant,The Log,48604,0.5346
Battle Healer,Rage,48559,0.5196
Dark Prince,Electro Wizard,48479,0.5328
Royal Ghost,Zap,48206,0.4956
Executioner,Graveyard,47805,0.5382
Elixir Collector,Night Witch,47747,0.5268
Goblins,Tesla,47722,0.5319
Elixir Golem,Skeleton King,47654,0.5365
Bat,Mini P.E.K.K.A,47423,0.5116
Rocket,The Log,47263,0.486
Arrows,Balloon,47151,0.5022
Skeleton,Tornado,46871,0.4658
Arrows,Lumberjack,46835,0.5093
Mother Witch,Royal Giant,46775,0.5416
Firecracker,Night Witch,46698,0.5091
Arrows,Battle Healer,46688,0.5244
Arrows,Musketeer,46537,0.5142
Arrows,Witch,46342,0.4916
Valkyrie,Zap,46241,0.5079
Barbarian Barrel,Goblins,46241,0.546
P.E.K.K.A,Royal Ghost,45998,0.4965
Fisherman,Skeleton King,45760,0.5407
Electro Wizard,Sparky,45461,0.538
Barbarian Barrel,Executioner,45216,0.5383
Knight,Musketeer,45200,0.5237
Electro Dragon,Night Witch,45171,0.5255
Balloon,Electro Dragon,45044,0.5439
Firecracker,Lumberjack,44487,0.5088
Flying Machine,Night Witch,44455,0.5271
Bowler,Electro Dragon,44399,0.5474
Inferno Dragon,Mega Knight,44325,0.4997
Electro Wizard,Poison,44259,0.4959
Fireball,Valkyrie,44038,0.5027
Spear Goblin,Tornado,43837,0.4666
Fisherman,Royal Ghost,43823,0.5419
Rocket,Tornado,43683,0.4841
Arrows,Elite Barbarian,43408,0.5047
Fireball,Night Witch,43064,0.5402
Fisherman,The Log,43059,0.5371
Arrows,Royal Ghost,43045,0.534
Royal Giant,Skeleton King,42825,0.5421
Fisherman,Phoenix,42692,0.5484
Mother Witch,Skeleton King,42545,0.5434
Dark Prince,Zap,42542,0.531
Electro Dragon,Freeze,42471,0.5469
Hog Rider,Inferno Tower,42320,0.5257
Dark Prince,Fireball,42118,0.534
Phoenix,Royal Giant,41914,0.5481
Mega Knight,Prince,41881,0.5077
Ice Wizard,Inferno Dragon,41798,0.5104
Elite Barbarian,Zap,41700,0.5169
Barbarian Barrel,Electro Spirit,41559,0.541
Elixir Golem,Flying Machine,41440,0.5293
Royal Giant,Zappies,41413,0.544
Hog Rider,Wizard,41346,0.4918
Balloon,Fireball,41286,0.5055
Firecracker,Inferno Tower,41252,0.5268
Flying Machine,Rage,41242,0.5351
Firecracker,Wall Breakers,41219,0.5189
Knight,Magic Archer,41052,0.471
Goblins,Phoenix,40989,0.5373
Bat,Hog Rider,40695,0.4926
Royal Giant,Tombstone,40665,0.5446
Freeze,Ice Wizard,40650,0.5127
Lightning,Phoenix,40563,0.5149
Prince,Zap,40550,0.5128
Elite Barbarian,Rage,40520,0.5124
Arrows,Giant,40407,0.5127
Firecracker,Royal Ghost,40348,0.51
Fisherman,Tombstone,40335,0.5448
Skeleton King,Zappies,40141,0.5443
Fireball,Inferno Dragon,40043,0.5159
Inferno Tower,The Log,39555,0.5258
Mini P.E.K.K.A,Night Witch,39511,0.5094
Tombstone,Zappies,39386,0.5431
Golem,Tornado,39298,0.5284
Hog Rider,Rocket,39285,0.4919
Firecracker,Poison,39221,0.4968
Barbarian Barrel,Firecracker,39202,0.5068
Lightning,Mega Knight,39159,0.5073
Mother Witch,Tombstone,38986,0.5439
Elixir Collector,Elixir Golem,38929,0.5278
Firecracker,Inferno Dragon,38864,0.5029
Electro Wizard,Magic Archer,38835,0.4921
Firecracker,Prince,38734,0.5101
Electro Wizard,Goblin Giant,38617,0.5443
Dark Prince,Knight,38594,0.5302
Electro Spirit,Hog Rider,38514,0.5153
Barbarian Barrel,Skeleton King,38174,0.5357
Dark Prince,Sparky,37843,0.5402
Electro Spirit,Skeleton,37685,0.527
Lightning,Night Witch,37644,0.5135
Mega Knight,Witch,37599,0.4939
Executioner,Freeze,37533,0.5308
Lightning,The Log,37438,0.5131
Valkyrie,Witch,37435,0.495
Ice Spirit,Rocket,37378,0.4831
Barbarian,Zap,37324,0.5267
Royal Ghost,Royal Giant,37322,0.5524
Golem,Lumberjack,37320,0.5263
Fireball,P.E.K.K.A,37263,0.4977
Dark Prince,Minion,37184,0.5249
Tesla,Valkyrie,37138,0.5108
Magic Archer,Spear Goblin,37072,0.468
Mini P.E.K.K.A,Tornado,37044,0.5028
Firecracker,P.E.K.K.A,36990,0.504
Elixir Collector,Knight,36947,0.5378
Electro Wizard,Valkyrie,36773,0.5003
Baby Dragon,Lightning,36460,0.5046
Arrows,Golem,36412,0.5166
Flying Machine,Skeleton King,36212,0.5363
Giant Snowball,Musketeer,36158,0.5166
Executioner,Inferno Dragon,36081,0.5312
Electro Spirit,Knight,36057,0.5234
Fisherman,Goblins,35994,0.5649
Battle Healer,Night Witch,35824,0.5309
Fire Spirit,The Log,35822,0.5136
Rage,Royal Recruits,35660,0.5216
Lumberjack,Zap,35660,0.5139
Mega Knight,Valkyrie,35544,0.5002
Valkyrie,Wizard,35521,0.5003
Arrows,P.E.K.K.A,35255,0.5053
Arrows,Phoenix,35183,0.5152
Arrows,Tornado,35165,0.5102
Magic Archer,Zap,35144,0.498
Goblins,Royal Giant,35085,0.5607
Executioner,Rocket,35032,0.4904
Hog Rider,Lightning,34661,0.5117
Firecracker,Skeleton Barrel,34615,0.5155
Fireball,Mega Knight,34585,0.5012
Balloon,Knight,34563,0.5045
Dark Prince,Tornado,34506,0.5225
Magic Archer,P.E.K.K.A,34414,0.4932
Night Witch,Zap,34233,0.5146
Inferno Dragon,Zap,34205,0.5061
Elixir Collector,Royal Recruits,33990,0.53
Firecracker,Rage,33528,0.503
Fireball,Tornado,33263,0.5008
Mini P.E.K.K.A,Skeleton,33234,0.5175
Dark Prince,Firecracker,33179,0.5132
Mega Knight,Wall Breakers,33168,0.5226
Baby Dragon,Lumberjack,32995,0.5288
Ice Spirit,Valkyrie,32858,0.5093
Knight,Rocket,32825,0.4751
P.E.K.K.A,Poison,32791,0.4939
Golem,Lightning,32739,0.5114
Arrows,Wizard,32721,0.4908
Lumberjack,Phoenix,32626,0.5205
Miner,Valkyrie,32569,0.4401
Tornado,Zap,32312,0.5147
Bandit,Fireball,32284,0.5082
Ice Spirit,Poison,32141,0.4975
Electro Spirit,Phoenix,32054,0.5544
Goblins,Musketeer,32016,0.5397
Firecracker,Minion,31916,0.5137
Mini P.E.K.K.A,Wizard,31888,0.4923
Dark Prince,Mother Witch,31869,0.5387
Barbarian,Electro Dragon,31847,0.539
Barbarian Barrel,Elixir Collector,31710,0.5463
Barbarian Barrel,Golem,31702,0.5214
Barbarian Barrel,Skeleton,31656,0.525
Fireball,Mega Minion,31515,0.5185
Inferno Dragon,Rage,31451,0.5048
Night Witch,Tornado,31343,0.5145
Electro Wizard,Lightning,31313,0.5086
Inferno Dragon,Lightning,31252,0.5011
Mini P.E.K.K.A,Witch,31045,0.5027
Electro Dragon,Elixir Collector,30994,0.5385
Electro Spirit,Firecracker,30916,0.5111
Mega Knight,Wizard,30872,0.4993
Barbarian Barrel,Electro Giant,30771,0.5171
Executioner,Poison,30759,0.4888
Electro Giant,Phoenix,30591,0.5033
Lightning,Valkyrie,30578,0.507
The Log,Zap,30546,0.5117
Witch,Zap,30491,0.5024
Goblins,Rocket,30453,0.4998
Knight,Lightning,30296,0.5082
Poison,Zap,30268,0.4927
Elixir Collector,Three Musketeers,29986,0.5414
Elixir Golem,Fireball,29948,0.5476
Skeleton,Wall Breakers,29872,0.4403
Electro Wizard,The Log,29858,0.5043
Elixir Collector,Skeleton King,29837,0.5248
Barbarian Barrel,Giant Snowball,29800,0.514
Balloon,Valkyrie,29695,0.5104
Balloon,Miner,29670,0.5142
Inferno Dragon,Mini P.E.K.K.A,29570,0.5077
Firecracker,Witch,29501,0.4923
Knight,Phoenix,29428,0.5104
Magic Archer,Valkyrie,29413,0.4396
Arrows,Baby Dragon,29387,0.4997
Wizard,Zap,29342,0.4978
Bandit,Bat,29321,0.5196
Arrows,Graveyard,29198,0.5151
Balloon,Rage,29150,0.5034
Balloon,Giant Snowball,29128,0.5159
Firecracker,Miner,29050,0.5048
Mega Knight,Skeleton Barrel,28979,0.5198
Elite Barbarian,Firecracker,28922,0.5128
Electro Spirit,Royal Ghost,28852,0.5529
The Log,X-Bow,28824,0.5249
Hunter,Royal Ghost,28819,0.5392
Mega Knight,The Log,28792,0.5073
Archer Queen,Arrows,28734,0.5398
Fireball,Witch,28700,0.4981
Ice Spirit,Inferno Tower,28619,0.5372
Hog Rider,Witch,28613,0.5004
Hog Rider,P.E.K.K.A,28481,0.4974
Heal Spirit,Royal Ghost,28423,0.5544
Electro Wizard,Knight,28319,0.5265
Mega Knight,Minion,28219,0.5099
Battle Ram,Fireball,28158,0.5042
Arrows,Magic Archer,28127,0.5349
Lumberjack,Mega Knight,28087,0.4934
Royal Ghost,The Log,28073,0.5355
Barbarian,Heal Spirit,27865,0.5552
Bandit,Poison,27847,0.498
Musketeer,Valkyrie,27838,0.5123
Night Witch,Royal Recruits,27778,0.5236
Elixir Golem,Royal Recruits,27772,0.5247
Royal Recruits,Skeleton King,27735,0.5259
Barbarian,Tornado,27701,0.5343
Earthquake,Electro Spirit,27678,0.5095
Golem,Mini P.E.K.K.A,27646,0.5073
Bat,Prince,27593,0.5049
Musketeer,Zap,27540,0.522
Giant,Zap,27537,0.5087
Goblins,Inferno Dragon,27498,0.5369
Balloon,Musketeer,27472,0.5232
Elixir Golem,Firecracker,27434,0.4973
Giant,Minion,27307,0.5029
Bomb Tower,Valkyrie,27208,0.431
Ice Spirit,Miner,27170,0.4832
The Log,Wizard,27110,0.4853
Firecracker,Golem,27095,0.5152
Dark Prince,Lightning,26998,0.5156
Knight,X-Bow,26976,0.5259
Barbarian,Skeleton King,26905,0.5509
Balloon,Skeleton,26754,0.5153
Goblins,Inferno Tower,26750,0.5367
Barbarian,Inferno Dragon,26718,0.5343
Hog Rider,Minion,26702,0.5169
Phoenix,Royal Ghost,26697,0.5523
Barbarian Barrel,Musketeer,26693,0.5161
Elixir Collector,Flying Machine,26618,0.5252
Miner,Musketeer,26560,0.5157
Barbarian,Battle Healer,26529,0.5353
Archer Queen,The Log,26432,0.5094
Heal Spirit,Rage,26425,0.5326
Royal Ghost,Three Musketeers,26381,0.5402
Earthquake,Inferno Tower,26348,0.5353
Arrows,Tombstone,26321,0.5119
Arrows,Miner,26260,0.4965
Bandit,Heal Spirit,26248,0.5535
Arrows,The Log,26210,0.5019
Freeze,Goblins,26121,0.538
Barbarian Barrel,Bomb Tower,26059,0.5209
Valkyrie,Wall Breakers,26001,0.4323
Earthquake,Valkyrie,25977,0.5043
Barbarian Barrel,Hunter,25938,0.535
Baby Dragon,Balloon,25829,0.5248
Archer Queen,Bandit,25785,0.5517
Elixir Collector,Tornado,25697,0.534
Arrows,Bomber,25687,0.507
Barbarian,Minion,25653,0.5289
Electro Dragon,Golem,25586,0.5389
Baby Dragon,Night Witch,25427,0.5087
Executioner,Valkyrie,25388,0.5026
Barbarian Barrel,Royal Ghost,25383,0.5579
Goblins,Graveyard,25361,0.5376
Bandit,Wall Breakers,25349,0.5321
Baby Dragon,Golem,25322,0.512
Bomber,Tornado,25320,0.5092
Hunter,Knight,25315,0.528
Royal Delivery,The Log,25280,0.4977
Arrows,Battle Ram,25224,0.5473
Miner,Zap,25182,0.5095
Bomb Tower,Musketeer,25179,0.522
Electro Wizard,Tornado,25161,0.5072
Barbarian Barrel,Dark Prince,25047,0.5243
Arrows,Wall Breakers,25029,0.5136
Fireball,Magic Archer,25006,0.4958
Bandit,Three Musketeers,24999,0.5386
Electro Spirit,Tesla,24899,0.5247
Poison,Royal Ghost,24844,0.4878
Balloon,Firecracker,24832,0.5071
P.E.K.K.A,Tornado,24830,0.5104
Lumberjack,Night Witch,24797,0.5174
Elixir Collector,Golem,24770,0.5374
Fireball,Lumberjack,24740,0.5257
Elixir Collector,Royal Ghost,24447,0.5405
Golem,Phoenix,24380,0.5258
Goblins,Wall Breakers,24294,0.5445
Lumberjack,Valkyrie,24184,0.4985
Firecracker,Mother Witch,24142,0.4871
Mega Knight,Tornado,24107,0.5092
Barbarian Barrel,Ice Golem,24091,0.5126
Mega Knight,Rage,24037,0.4997
Royal Giant,Skeleton,24011,0.5321
Bandit,Elixir Collector,23959,0.5402
Earthquake,Tornado,23935,0.4494
Mega Knight,Miner,23921,0.5024
Mother Witch,Royal Recruits,23762,0.5323
Bat,Rage,23738,0.5118
Electro Wizard,Lumberjack,23736,0.5047
Battle Ram,Poison,23733,0.4969
Flying Machine,Mother Witch,23555,0.5181
Lumberjack,Mini P.E.K.K.A,23512,0.5038
Tornado,Wizard,23506,0.4818
Firecracker,Guard,23482,0.5085
Mini P.E.K.K.A,Musketeer,23452,0.5051
Barbarian,Graveyard,23451,0.5403
Mega Knight,Night Witch,23448,0.5033
Bandit,Knight,23431,0.5336
Knight,Royal Ghost,23426,0.5348
Electro Wizard,Elite Barbarian,23369,0.5198
Barbarian,Mother Witch,23364,0.5458
