card_name,times_used,wins,win_rate,presence_rate,elixir
Elite Barbarian,2031223,970882.0,0.478,0.05536,6.0
Royal Giant,2021683,1027438.0,0.5082,0.0551,6.0
Royal Ghost,2004281,1043259.0,0.5205,0.05462,3.0
Elixir Collector,2001529,1048426.0,0.5238,0.05455,6.0
Goblin Giant,1992493,1055848.0,0.5299,0.0543,6.0
Mother Witch,1946889,996816.0,0.512,0.05306,4.0
Rocket,1837192,875500.0,0.4765,0.05007,6.0
Mirror,1801396,819174.0,0.4547,0.04909,
Giant Skeleton,1795289,877993.0,0.4891,0.04893,6.0
Flying Machine,1793897,928774.0,0.5177,0.04889,4.0
Mighty Miner,1785440,928622.0,0.5201,0.04866,4.0
Mega Minion,1772999,918811.0,0.5182,0.04832,3.0
Golem,1732090,888651.0,0.5131,0.0472,8.0
Graveyard,1706773,903775.0,0.5295,0.04651,5.0
Freeze,1698859,856673.0,0.5043,0.0463,4.0
Magic Archer,1696644,779221.0,0.4593,0.04624,4.0
Elixir Golem,1673716,819801.0,0.4898,0.04561,3.0
Skeleton Dragons,1655912,877792.0,0.5301,0.04513,4.0
Phoenix,1542240,809215.0,0.5247,0.04203,4.0
Bowler,1504132,785621.0,0.5223,0.04099,5.0
Royal Hogs,1492600,758873.0,0.5084,0.04068,5.0
Fisherman,1469472,774334.0,0.5269,0.04005,3.0
Spear Goblin,1442323,711206.0,0.4931,0.03931,2.0
Skeleton King,1441211,745686.0,0.5174,0.03928,4.0
Ice Wizard,1370088,703223.0,0.5133,0.03734,3.0
Ice Golem,1312501,638144.0,0.4862,0.03577,2.0
Electro Giant,1293576,625520.0,0.4836,0.03525,7.0
Battle Ram,1271580,653246.0,0.5137,0.03465,4.0
Zappies,1209811,639402.0,0.5285,0.03297,4.0
Goblin Cage,1131834,597917.0,0.5283,0.03085,4.0
Ram Rider,1121885,538047.0,0.4796,0.03057,5.0
Giant,1103447,560229.0,0.5077,0.03007,5.0
Guard,1062772,514429.0,0.484,0.02896,3.0
Mortar,1056401,535627.0,0.507,0.02879,4.0
Archer,1051207,503822.0,0.4793,0.02865,3.0
Minion Horde,1040406,487278.0,0.4684,0.02835,5.0
Little Prince,982501,520367.0,0.5296,0.02678,3.0
Lava Hound,980690,519504.0,0.5297,0.02673,7.0
Archer Queen,963933,487489.0,0.5057,0.02627,5.0
Furnace,944606,449192.0,0.4755,0.02574,4.0
Giant Snowball,860689,435534.0,0.506,0.02346,2.0
Hunter,831182,424631.0,0.5109,0.02265,4.0
Battle Healer,831158,414096.0,0.4982,0.02265,4.0
Fire Spirit,792815,383462.0,0.4837,0.02161,1.0
Bomber,769839,372529.0,0.4839,0.02098,2.0
Golden Knight,757337,358106.0,0.4728,0.02064,4.0
Monk,625849,300612.0,0.4803,0.01706,5.0
Heal Spirit,614243,323599.0,0.5268,0.01674,1.0
Royal Delivery,588715,289861.0,0.4924,0.01604,3.0
Clone,576834,269053.0,0.4664,0.01572,3.0
Cannon Cart,572877,288355.0,0.5033,0.01561,5.0
Goblin Hut,531436,252531.0,0.4752,0.01448,4.0
Rascals,485845,246781.0,0.5079,0.01324,5.0
X-Bow,482524,228557.0,0.4737,0.01315,6.0
Three Musketeers,463257,238407.0,0.5146,0.01263,9.0
Goblin Drill,380233,187497.0,0.4931,0.01036,4.0
Barbarian Hut,81368,38691.0,0.4755,0.00222,6.0
