Type,Unit,Level,Range,Radius,Hit Speed (sec),Hitpoints,Damage,DPS,Crown Tower Damage,Charge Damage,Stage1 Damage,Stage2 Damage,Stage3 Damage (Max),Shield Hitpoints,Death Damage,Heal (per hit),Heal per Second,Enchanted Damage,Pellet Count,Spawn Damage,Jump Damage,Shard Count,Building Damage,Dash Damage,Zap Pack Damage,Zap Pack DPS,Hit Count,Damage (2-4 targets),Crown Tower Damage (2-4 targets),Damage (5+ targets),Crown Tower Damage (5+ targets),Area Damage,Combo Damage,Air Form DPS,Ground Form DPS
Troop,Minion,11,2.5,,1.2,230,107,89,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Minion,12,2.5,,1.2,252,118,98,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Minion,13,2.5,,1.2,278,129,107,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Minion,14,2.5,,1.2,305,142,118,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Minion,15,2.5,,1.2,334,156,130,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Minion,16,2.5,,1.2,368,171,142,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Minion,17,2.5,,1.2,405,189,157,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Minion,18,2.5,,1.2,445,207,172,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Musketeer,1,6,,1,282,85,85,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Musketeer,2,6,,1,310,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Musketeer,3,6,,1,341,102,102,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Musketeer,4,6,,1,375,113,113,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Musketeer,5,6,,1,411,124,124,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Musketeer,6,6,,1,451,136,136,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Musketeer,7,6,,1,496,149,149,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Musketeer,8,6,,1,544,164,164,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Musketeer,9,6,,1,597,180,180,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Musketeer,10,6,,1,657,198,198,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Musketeer,11,6,,1,721,217,217,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Musketeer,12,6,,1,792,238,238,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Musketeer,13,6,,1,871,262,262,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Musketeer,14,6,,1,955,288,288,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Musketeer,15,6,,1,1049,316,316,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Musketeer,16,6,,1,1153,347,347,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Musketeer,17,6,,1,1269,382,382,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Musketeer,18,6,,1,1395,420,420,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Mini P.E.K.K.A,1,Melee: Short,,1.6,543,295,184,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Mini P.E.K.K.A,2,Melee: Short,,1.6,597,324,202,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Mini P.E.K.K.A,3,Melee: Short,,1.6,657,356,222,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Mini P.E.K.K.A,4,Melee: Short,,1.6,722,392,245,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Mini P.E.K.K.A,5,Melee: Short,,1.6,792,430,268,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Mini P.E.K.K.A,6,Melee: Short,,1.6,868,472,295,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Mini P.E.K.K.A,7,Melee: Short,,1.6,955,519,324,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Mini P.E.K.K.A,8,Melee: Short,,1.6,1047,569,355,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Mini P.E.K.K.A,9,Melee: Short,,1.6,1151,625,390,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Mini P.E.K.K.A,10,Melee: Short,,1.6,1265,687,429,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Mini P.E.K.K.A,11,Melee: Short,,1.6,1390,755,471,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Mini P.E.K.K.A,12,Melee: Short,,1.6,1525,828,517,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Mini P.E.K.K.A,13,Melee: Short,,1.6,1677,911,569,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Mini P.E.K.K.A,14,Melee: Short,,1.6,1840,1000,625,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Mini P.E.K.K.A,15,Melee: Short,,1.6,2019,1097,685,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Mini P.E.K.K.A,16,Melee: Short,,1.6,2220,1206,753,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Mini P.E.K.K.A,17,Melee: Short,,1.6,2443,1327,829,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Mini P.E.K.K.A,18,Melee: Short,,1.6,2687,1460,912,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spell,Fireball,1,,2.5,,,269,,81,,,,,,,,,,,,,,,,,,,,,,,,,,
Spell,Fireball,2,,2.5,,,295,,89,,,,,,,,,,,,,,,,,,,,,,,,,,
Spell,Fireball,3,,2.5,,,325,,98,,,,,,,,,,,,,,,,,,,,,,,,,,
Spell,Fireball,4,,2.5,,,357,,108,,,,,,,,,,,,,,,,,,,,,,,,,,
Spell,Fireball,5,,2.5,,,392,,118,,,,,,,,,,,,,,,,,,,,,,,,,,
Spell,Fireball,6,,2.5,,,430,,129,,,,,,,,,,,,,,,,,,,,,,,,,,
Spell,Fireball,7,,2.5,,,473,,142,,,,,,,,,,,,,,,,,,,,,,,,,,
Spell,Fireball,8,,2.5,,,519,,156,,,,,,,,,,,,,,,,,,,,,,,,,,
Spell,Fireball,9,,2.5,,,570,,171,,,,,,,,,,,,,,,,,,,,,,,,,,
Spell,Fireball,10,,2.5,,,626,,188,,,,,,,,,,,,,,,,,,,,,,,,,,
Spell,Fireball,11,,2.5,,,688,,207,,,,,,,,,,,,,,,,,,,,,,,,,,
Spell,Fireball,12,,2.5,,,755,,227,,,,,,,,,,,,,,,,,,,,,,,,,,
Spell,Fireball,13,,2.5,,,831,,250,,,,,,,,,,,,,,,,,,,,,,,,,,
Spell,Fireball,14,,2.5,,,911,,274,,,,,,,,,,,,,,,,,,,,,,,,,,
Spell,Fireball,15,,2.5,,,1000,,300,,,,,,,,,,,,,,,,,,,,,,,,,,
Spell,Fireball,16,,2.5,,,1100,,330,,,,,,,,,,,,,,,,,,,,,,,,,,
Spell,Fireball,17,,2.5,,,1210,,363,,,,,,,,,,,,,,,,,,,,,,,,,,
Spell,Fireball,18,,2.5,,,1331,,400,,,,,,,,,,,,,,,,,,,,,,,,,,
Spell,Arrows,1,,1.4,,,144,,36,,,,,,,,,,,,,,,,,,,,,,,,,,
Spell,Arrows,2,,1.4,,,156,,39,,,,,,,,,,,,,,,,,,,,,,,,,,
Spell,Arrows,3,,1.4,,,174,,45,,,,,,,,,,,,,,,,,,,,,,,,,,
Spell,Arrows,4,,1.4,,,189,,48,,,,,,,,,,,,,,,,,,,,,,,,,,
Spell,Arrows,5,,1.4,,,210,,54,,,,,,,,,,,,,,,,,,,,,,,,,,
Spell,Arrows,6,,1.4,,,228,,57,,,,,,,,,,,,,,,,,,,,,,,,,,
Spell,Arrows,7,,1.4,,,252,,63,,,,,,,,,,,,,,,,,,,,,,,,,,
Spell,Arrows,8,,1.4,,,276,,69,,,,,,,,,,,,,,,,,,,,,,,,,,
Spell,Arrows,9,,1.4,,,303,,78,,,,,,,,,,,,,,,,,,,,,,,,,,
Spell,Arrows,10,,1.4,,,333,,84,,,,,,,,,,,,,,,,,,,,,,,,,,
Spell,Arrows,11,,1.4,,,366,,93,,,,,,,,,,,,,,,,,,,,,,,,,,
Spell,Arrows,12,,1.4,,,402,,102,,,,,,,,,,,,,,,,,,,,,,,,,,
Spell,Arrows,13,,1.4,,,444,,111,,,,,,,,,,,,,,,,,,,,,,,,,,
Spell,Arrows,14,,1.4,,,486,,123,,,,,,,,,,,,,,,,,,,,,,,,,,
Spell,Arrows,15,,1.4,,,534,,135,,,,,,,,,,,,,,,,,,,,,,,,,,
Spell,Arrows,16,,1.4,,,588,,147,,,,,,,,,,,,,,,,,,,,,,,,,,
Spell,Arrows,17,,1.4,,,648,,162,,,,,,,,,,,,,,,,,,,,,,,,,,
Spell,Arrows,18,,1.4,,,711,,180,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Goblins,1,Melee: Short,,1.1,79,47,42,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Goblins,2,Melee: Short,,1.1,86,51,46,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Goblins,3,Melee: Short,,1.1,95,56,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Goblins,4,Melee: Short,,1.1,105,62,56,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Goblins,5,Melee: Short,,1.1,115,68,61,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Goblins,6,Melee: Short,,1.1,126,75,68,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Goblins,7,Melee: Short,,1.1,139,82,74,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Goblins,8,Melee: Short,,1.1,152,90,81,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Goblins,9,Melee: Short,,1.1,167,99,90,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Goblins,10,Melee: Short,,1.1,184,109,99,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Goblins,11,Melee: Short,,1.1,202,120,109,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Goblins,12,Melee: Short,,1.1,221,132,120,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Goblins,13,Melee: Short,,1.1,244,145,131,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Goblins,14,Melee: Short,,1.1,267,159,144,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Goblins,15,Melee: Short,,1.1,293,174,158,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Goblins,16,Melee: Short,,1.1,323,192,174,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Goblins,17,Melee: Short,,1.1,355,211,191,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Goblins,18,Melee: Short,,1.1,391,232,210,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Spear Goblin,1,5,,1.7,52,32,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Spear Goblin,2,5,,1.7,57,35,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Spear Goblin,3,5,,1.7,62,38,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Spear Goblin,4,5,,1.7,69,42,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Spear Goblin,5,5,,1.7,75,46,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Spear Goblin,6,5,,1.7,83,51,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Spear Goblin,7,5,,1.7,91,56,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Spear Goblin,8,5,,1.7,100,61,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Spear Goblin,9,5,,1.7,110,67,39,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Spear Goblin,10,5,,1.7,121,74,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Spear Goblin,11,5,,1.7,133,81,47,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Spear Goblin,12,5,,1.7,146,89,52,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Spear Goblin,13,5,,1.7,160,98,57,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Spear Goblin,14,5,,1.7,176,108,63,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Spear Goblin,15,5,,1.7,193,119,70,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Spear Goblin,16,5,,1.7,212,130,76,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Spear Goblin,17,5,,1.7,234,144,84,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Spear Goblin,18,5,,1.7,257,158,92,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Goblin Hut,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Goblin Hut,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Goblin Hut,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Goblin Hut,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Goblin Hut,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Goblin Hut,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Goblin Hut,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Goblin Hut,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Goblin Hut,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Goblin Hut,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Goblin Hut,11,,,,,1180,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Goblin Hut,12,,,,,1295,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Goblin Hut,13,,,,,1424,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Goblin Hut,14,,,,,1562,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Goblin Hut,15,,,,,1714,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Goblin Hut,16,,,,,1885,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Goblin Hut,17,,,,,2074,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Goblin Hut,18,,,,,2281,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Goblin Cage,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Goblin Cage,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Goblin Cage,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Goblin Cage,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Goblin Cage,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Goblin Cage,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Goblin Cage,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Goblin Cage,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Goblin Cage,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Goblin Cage,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Goblin Cage,11,,,,,780,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Goblin Cage,12,,,,,857,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Goblin Cage,13,,,,,942,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Goblin Cage,14,,,,,1033,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Goblin Cage,15,,,,,1134,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Goblin Cage,16,,,,,1247,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Goblin Cage,17,,,,,1372,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Goblin Cage,18,,,,,1509,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Goblin Brawler,1,Melee: Short,,1.1,422,132,120,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Goblin Brawler,2,Melee: Short,,1.1,464,145,131,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Goblin Brawler,3,Melee: Short,,1.1,510,159,144,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Goblin Brawler,4,Melee: Short,,1.1,561,175,159,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Goblin Brawler,5,Melee: Short,,1.1,616,192,174,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Goblin Brawler,6,Melee: Short,,1.1,675,211,191,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Goblin Brawler,7,Melee: Short,,1.1,742,232,210,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Goblin Brawler,8,Melee: Short,,1.1,814,254,230,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Goblin Brawler,9,Melee: Short,,1.1,894,279,253,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Goblin Brawler,10,Melee: Short,,1.1,983,307,279,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Goblin Brawler,11,Melee: Short,,1.1,1080,337,306,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Goblin Brawler,12,Melee: Short,,1.1,1185,370,336,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Goblin Brawler,13,Melee: Short,,1.1,1303,407,370,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Goblin Brawler,14,Melee: Short,,1.1,1430,447,406,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Goblin Brawler,15,Melee: Short,,1.1,1569,491,446,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Goblin Brawler,16,Melee: Short,,1.1,1725,539,490,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Goblin Brawler,17,Melee: Short,,1.1,1899,594,540,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Goblin Brawler,18,Melee: Short,,1.1,2088,653,593,,,,,,,,,,,,,,,,,,,,,,,,,,,
